"id_original","base_original","timestamp","id_global","id_PGJ","id_SSC","id_C5","lat","lon","d_PGJ","d_SSC","d_C5","t_PGJ","t_SSC","t_C5"
"127","SSC","05/01/2018, 06:06:00",680,"16663","127","C5/180105/00891",19.403998,-99.155605,16.8665736379808,,25.3641261559578,23.9999999996508,,1.86666666297242
"14379","SSC","17/11/2018, 01:34:00",548,"23544","14379","IZ/181117/00654",19.290611,-99.017007,952.578483407137,,190.742150042428,5.99999999860302,,7.15000000025611
"IZ/180305/03625","C5","05/03/2018, 12:15:37",952,"17921","2189","IZ/180305/03625",19.350239,-99.017909,7.1601117878182,9.74643577513233,,39.3666666699573,34.3666666693753,
"19959","PGJ","05/06/2018, 05:30:00",196,"19959","5133",,19.4475235264206,-99.2147221113231,,1702.05077680659,,,0,
"968","SSC","28/01/2018, 12:00:00",568,,"968",,19.423073,-99.111878,,,,,,
"18152","PGJ","15/03/2018, 04:00:00",94,"18152",,"C5/180315/00762",19.348948735231,-99.0180046537372,,,23.3542201841159,,,0.599999998812564
"3171","SSC","03/04/2018, 04:50:00",669,"18529","3171","C5/180403/00884",19.485792,-99.094734,93.9333891797984,,827.776700300575,0,,11.7166666709818
"1533","SSC","15/02/2018, 00:10:00",733,"17494","1533","C5/180215/00050",19.435363,-99.135826,18.1299790141683,,14.9824905363215,10.0000000011642,,1.49999999965075
"C5/180915/05883","C5","15/09/2018, 12:52:45",1060,,,"C5/180915/05883",19.26658998,-99.16742988,,,,,,
"21152","PGJ","04/08/2018, 07:00:00",267,"21152",,,19.3197631996911,-99.3263881001256,,,,,,
"23270","PGJ","04/11/2018, 23:10:00",372,"23270","13622","C5/181104/09766",19.4545509510133,-99.1383808577552,,76.5876695933797,26.9816214139955,,0,4.31666666467208
"C5/180720/01529","C5","20/07/2018, 06:37:54",1000,"20816","7399","C5/180720/01529",19.35663003,-99.08655984,548.819411516261,11.1761658283255,,17.1000000002095,0.0999999971827492,
"BJ/180217/01307","C5","17/02/2018, 03:37:23",945,"17556","1612","BJ/180217/01307",19.301968,-99.165575,182.958410888163,159.720320529126,,2.38333333516493,2.61666666541714,
"7551","SSC","22/07/2018, 01:34:00",619,"20864","7551",,19.304293,-99.18638,153.268325917998,,,10.9999999991851,,
"8924","SSC","14/08/2018, 21:40:00",726,"21397","8924","C5/180814/09241",19.25462,-99.161906,372.030921427005,,32.045063024233,10.0000000011642,,18.9999999990687
"18053","PGJ","11/03/2018, 00:50:00",90,"18053","2411",,19.4433095824149,-99.1327363287812,,9.61613604818253,,,0,
"20193","PGJ","17/06/2018, 03:50:00",214,"20193","5579",,19.3870930880666,-99.0398842466537,,43.9374681803365,,,129.999999999418,
"C5/181104/09766","C5","04/11/2018, 23:05:41",883,"23270","13622","C5/181104/09766",19.45478997,-99.13833,26.9816214139955,71.0345621611098,,4.31666666467208,4.31666666467208,
"2556","SSC","15/03/2018, 21:10:00",663,"18169","2556","GA/180315/08735",19.398227,-99.119381,91.868352928789,,41.1396702098517,0.99999999802094,,0.316666667349637
"18829","PGJ","15/04/2018, 16:00:00",144,"18829",,,19.1359482025278,-99.1767541001794,,,,,,
"20086","PGJ","11/06/2018, 13:40:00",199,"20086",,,19.4126360437614,-99.0624095050099,,,,,,
"18939","PGJ","20/04/2018, 22:52:00",152,"18939","3711","C5/180420/10424",19.3606065392743,-99.130299475162,,11.4061327638182,22.9795737302077,,2.99999999930151,6.69999999983702
"5450","SSC","14/06/2018, 20:30:00",725,"20143","5450","CH/180614/08592",19.444735,-99.143547,106.765496697783,,27.4308089745452,9.99999999592546,,2.33333333395422
"23614","PGJ","20/11/2018, 15:00:00",393,"23614",,,19.2996164171843,-99.0435270146598,,,,,,
"20363","PGJ","26/06/2018, 22:00:00",228,"20363",,"C5/180626/08356",19.2462828013625,-99.0785860384036,,,913.58686596839,,,35.150000002468
"16952","SSC","30/12/2018, 17:02:00",634,"24544","16952","C5/181230/06562",19.113772,-99.190816,2781.76708133902,,1841.653863894,26.9999999989523,,38.2333333336283
"IZ/181014/11115","C5","14/10/2018, 22:08:02",951,,"12413","IZ/181014/11115",19.284203,-99.01122,,276.374810853162,,,0.0499999959720299,
"19641","PGJ","23/05/2018, 04:54:59",186,"19641","4667",,19.4768325581442,-99.1313941955155,,7.83203038870967,,,9.99999999592546,
"20224","PGJ","18/06/2018, 22:40:00",218,"20224",,"C5/180618/09069",19.387299831567,-99.2143834150435,,,76.3518069508195,,,1.65000000328291
"23271","PGJ","05/11/2018, 01:00:00",373,"23271",,,19.3301777246774,-98.9661304727349,,,,,,
