"id_global","id_PGJ","id_SSC","id_C5","fecha_incidente","hora_incidente","calle","colonia","alcaldia","lat","lon","delito_pgj","categoria_delito_pgj","fiscalia","agencia","unidad_investigacion"
513,23893,NA,NA,"02/12/2018","13:54:59","KILOMETRO 26+500 AUTOPISTA MEXICO TOLUCA","CRUZ BLANCA","CUAJIMALPA DE MORELOS",19.3199812055991,-99.3212614494376,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN CUAJIMALPA","CJ-1","UI-1SD"
514,23898,NA,NA,"02/12/2018","16:45:00","608","SAN JUAN DE ARAGÓN IV SECCIÓN","GUSTAVO A MADERO",19.4603208303304,-99.0649577489844,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN GUSTAVO A. MADERO","GAM-2","UI-1CD"
515,23958,NA,NA,"04/12/2018","18:10:00","ESTACION DEL METRO VIADUCTO","VIADUCTO PIEDAD","IZTACALCO",19.4008756898924,-99.1367531502191,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN AGENCIAS DE ATENCIÓN ESPECIALIZADAS","STCMP","UI-3CD"
516,23961,NA,NA,"04/12/2018","19:30:00","CALZADA  IGNACIO ZARAGOZA  CARRIL  CENTRAL   DIRECCION AL ORIENTE","JARDÍN BALBUENA","VENUSTIANO CARRANZA",19.4157232548657,-99.1073018734307,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN VENUSTIANO CARRANZA","VC-3","UI-1SD"
517,23977,NA,NA,"05/12/2018","12:35:00","CECILIO ROBELO","JARDÍN BALBUENA","VENUSTIANO CARRANZA",19.4231763046278,-99.1095520000347,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN VENUSTIANO CARRANZA","VC-3","UI-1CD"
518,24016,NA,NA,"07/12/2018","09:32:00","LAGO GINEBRA","PENSIL SUR","MIGUEL HIDALGO",19.4453925694728,-99.1969296599219,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN MIGUEL HIDALGO","MH-2","UI-1SD"
519,24019,NA,NA,"07/12/2018","10:00:00","GENERAL   ANAYA","ZONA CENTRO","VENUSTIANO CARRANZA",19.4278045943913,-99.1216790222676,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN VENUSTIANO CARRANZA","VC-1","UI-1SD"
520,24028,NA,NA,"07/12/2018","14:30:00","CECILIO ROBELO SIN NUMERO","AERONÁUTICA MILITAR","VENUSTIANO CARRANZA",19.424850853987,-99.1145173825014,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN VENUSTIANO CARRANZA","VC-3","UI-3CD"
521,24059,NA,NA,"08/12/2018","21:30:00","KILOMETRO 28+100 AUTOPISTA FEDERAL MÉXICO ENTRONQUE CONSTITUYENTES-LA MARQUEZA DIRECTO","LAS LAJAS","CUAJIMALPA DE MORELOS",19.3194787015984,-99.3319353998764,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN CUAJIMALPA","CJ-1","UI-1SD"
522,24083,NA,NA,"09/12/2018","22:09:59","ERMITA IZTAPALA","CITLALLI","IZTAPALAPA",19.3449706510246,-99.0228335696126,"HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION)","DELITO DE BAJO IMPACTO","INVESTIGACIÓN EN IZTAPALAPA","IZP-9","UI-2SD"
